"disease","state","lga","epiweek","cas"
"Meningitis","Kebbi","Ngaski","2017-35","0"
"Cholera","Kebbi","Ngaski","2017-35","6"
"Measles","Kebbi","Sakaba","2017-35","19"
"Meningitis","Kebbi","Sakaba","2017-35","0"
"Cholera","Kebbi","Sakaba","2017-35","6"
"Measles","Kebbi","Shanga","2017-35","22"
"Meningitis","Kebbi","Shanga","2017-35","0"
"Cholera","Kebbi","Shanga","2017-35","0"
"Measles","Kebbi","Suru","2017-35","0"
"Meningitis","Kebbi","Suru","2017-35","1"
"Cholera","Kebbi","Suru","2017-35","0"
"Measles","Kebbi","Yauri","2017-35","0"
"Meningitis","Kebbi","Yauri","2017-35","2"
"Cholera","Kebbi","Yauri","2017-35","16"
"Meningitis","Kebbi","Zuru","2017-35","2"
"Cholera","Kebbi","Zuru","2017-35","8"
"Measles","Niger","Agaie","2017-35","6"
"Meningitis","Niger","Agaie","2017-35","0"
"Cholera","Niger","Agaie","2017-35","10"
"Measles","Niger","Agwara","2017-35","0"
"Meningitis","Niger","Agwara","2017-35","5"
"Measles","Niger","Bida","2017-35","1"
"Meningitis","Niger","Bida","2017-35","16"
"Cholera","Niger","Bida","2017-35","0"
"Measles","Niger","Borgu","2017-35","0"
"Cholera","Niger","Borgu","2017-35","0"
"Measles","Niger","Bosso","2017-35","6"
"Meningitis","Niger","Bosso","2017-35","5"
"Cholera","Niger","Bosso","2017-35","0"
"Measles","Niger","Chanchaga","2017-35","1"
"Meningitis","Niger","Chanchaga","2017-35","0"
"Cholera","Niger","Chanchaga","2017-35","9"
"Measles","Niger","Edati","2017-35","2"
"Meningitis","Niger","Edati","2017-35","19"
"Cholera","Niger","Edati","2017-35","9"
"Measles","Niger","Gbako","2017-35","1"
"Meningitis","Niger","Gbako","2017-35","0"
"Measles","Niger","Gurara","2017-35","0"
"Meningitis","Niger","Gurara","2017-35","1"
"Cholera","Niger","Gurara","2017-35","0"
"Measles","Niger","Katcha","2017-35","0"
"Meningitis","Niger","Katcha","2017-35","1"
"Measles","Niger","Kontagora","2017-35","39"
"Meningitis","Niger","Kontagora","2017-35","0"
"Cholera","Niger","Kontagora","2017-35","9"
"Measles","Niger","Lapai","2017-35","0"
"Cholera","Niger","Lapai","2017-35","14"
"Measles","Niger","Lavun","2017-35","1"
"Meningitis","Niger","Lavun","2017-35","0"
"Cholera","Niger","Lavun","2017-35","0"
"Measles","Niger","Magama","2017-35","0"
"Meningitis","Niger","Magama","2017-35","20"
"Cholera","Niger","Magama","2017-35","0"
"Measles","Niger","Mariga","2017-35","0"
"Meningitis","Niger","Mariga","2017-35","3"
"Cholera","Niger","Mariga","2017-35","0"
"Measles","Niger","Mashegu","2017-35","3"
"Meningitis","Niger","Mashegu","2017-35","11"
"Cholera","Niger","Mashegu","2017-35","12"
"Measles","Niger","Mokwa","2017-35","0"
"Meningitis","Niger","Mokwa","2017-35","0"
"Cholera","Niger","Mokwa","2017-35","39"
"Measles","Niger","Muya","2017-35","3"
"Meningitis","Niger","Muya","2017-35","0"
"Cholera","Niger","Muya","2017-35","0"
"Measles","Niger","Paikoro","2017-35","3"
"Cholera","Niger","Paikoro","2017-35","0"
"Meningitis","Niger","Rafi","2017-35","0"
"Cholera","Niger","Rafi","2017-35","0"
"Measles","Niger","Rijau","2017-35","3"
"Meningitis","Niger","Rijau","2017-35","0"
"Cholera","Niger","Rijau","2017-35","1"
"Measles","Niger","Shiroro","2017-35","7"
"Meningitis","Niger","Shiroro","2017-35","3"
"Cholera","Niger","Shiroro","2017-35","0"
"Measles","Niger","Suleja","2017-35","3"
"Meningitis","Niger","Suleja","2017-35","0"
"Cholera","Niger","Suleja","2017-35","38"
"Measles","Niger","Tafa","2017-35","0"
"Meningitis","Niger","Tafa","2017-35","8"
"Cholera","Niger","Tafa","2017-35","6"
"Measles","Niger","Wushishi","2017-35","3"
"Meningitis","Niger","Wushishi","2017-35","16"
"Cholera","Niger","Wushishi","2017-35","1"
"Measles","Sokoto","Binji","2017-35","12"
"Meningitis","Sokoto","Binji","2017-35","1"
"Cholera","Sokoto","Binji","2017-35","12"
"Measles","Sokoto","Bodinga","2017-35","0"
"Meningitis","Sokoto","Bodinga","2017-35","6"
"Cholera","Sokoto","Bodinga","2017-35","0"
"Measles","Sokoto","Dange Shuni","2017-35","0"
"Meningitis","Sokoto","Dange Shuni","2017-35","0"
"Cholera","Sokoto","Dange Shuni","2017-35","0"
"Measles","Sokoto","Gada","2017-35","31"
"Meningitis","Sokoto","Gada","2017-35","0"
"Cholera","Sokoto","Gada","2017-35","0"
"Measles","Sokoto","Goronyo","2017-35","8"
"Meningitis","Sokoto","Goronyo","2017-35","9"
"Cholera","Sokoto","Goronyo","2017-35","2"
"Measles","Sokoto","Gudu","2017-35","0"
"Meningitis","Sokoto","Gudu","2017-35","0"
"Cholera","Sokoto","Gudu","2017-35","0"
"Measles","Sokoto","Gwadabawa","2017-35","5"
"Meningitis","Sokoto","Gwadabawa","2017-35","2"
"Cholera","Sokoto","Gwadabawa","2017-35","0"
"Measles","Sokoto","Illela","2017-35","0"
"Meningitis","Sokoto","Illela","2017-35","0"
"Cholera","Sokoto","Illela","2017-35","0"
"Measles","Sokoto","Isa","2017-35","14"
"Meningitis","Sokoto","Isa","2017-35","1"
"Cholera","Sokoto","Isa","2017-35","1"
"Measles","Sokoto","Kebbe","2017-35","0"
"Meningitis","Sokoto","Kebbe","2017-35","0"
"Cholera","Sokoto","Kebbe","2017-35","0"
"Measles","Sokoto","Kware","2017-35","1"
"Meningitis","Sokoto","Kware","2017-35","0"
"Cholera","Sokoto","Kware","2017-35","6"
"Measles","Sokoto","Rabah","2017-35","0"
"Meningitis","Sokoto","Rabah","2017-35","8"
"Cholera","Sokoto","Rabah","2017-35","1"
"Meningitis","Sokoto","Sabon Birni","2017-35","0"
"Cholera","Sokoto","Sabon Birni","2017-35","56"
"Measles","Sokoto","Shagari","2017-35","0"
"Meningitis","Sokoto","Shagari","2017-35","0"
"Cholera","Sokoto","Shagari","2017-35","4"
"Measles","Sokoto","Silame","2017-35","0"
"Meningitis","Sokoto","Silame","2017-35","3"
"Cholera","Sokoto","Silame","2017-35","5"
"Measles","Sokoto","Sokoto North","2017-35","0"
"Meningitis","Sokoto","Sokoto North","2017-35","6"
"Cholera","Sokoto","Sokoto North","2017-35","25"
"Measles","Sokoto","Sokoto South","2017-35","0"
"Meningitis","Sokoto","Sokoto South","2017-35","5"
"Cholera","Sokoto","Sokoto South","2017-35","1"
"Measles","Sokoto","Tambuwal","2017-35","5"
"Meningitis","Sokoto","Tambuwal","2017-35","18"
"Cholera","Sokoto","Tambuwal","2017-35","2"
"Measles","Sokoto","Tangaza","2017-35","6"
"Meningitis","Sokoto","Tangaza","2017-35","3"
"Cholera","Sokoto","Tangaza","2017-35","5"
"Measles","Sokoto","Tureta","2017-35","3"
"Meningitis","Sokoto","Tureta","2017-35","34"
"Cholera","Sokoto","Tureta","2017-35","3"
"Measles","Sokoto","Wamako","2017-35","0"
"Meningitis","Sokoto","Wamako","2017-35","3"
"Cholera","Sokoto","Wamako","2017-35","2"
"Measles","Sokoto","Wurno","2017-35","2"
"Cholera","Sokoto","Wurno","2017-35","8"
"Measles","Sokoto","Yabo","2017-35","0"
"Meningitis","Sokoto","Yabo","2017-35","1"
"Cholera","Sokoto","Yabo","2017-35","3"
"Measles","Zamfara","Anka","2017-35","8"
"Meningitis","Zamfara","Anka","2017-35","15"
"Cholera","Zamfara","Anka","2017-35","4"
"Measles","Zamfara","Bakura","2017-35","2"
"Meningitis","Zamfara","Bakura","2017-35","16"
"Cholera","Zamfara","Bakura","2017-35","14"
"Measles","Zamfara","Birnin Magaji","2017-35","5"
"Meningitis","Zamfara","Birnin Magaji","2017-35","4"
"Cholera","Zamfara","Birnin Magaji","2017-35","3"
"Measles","Zamfara","Bukkuyum","2017-35","2"
"Meningitis","Zamfara","Bukkuyum","2017-35","0"
"Cholera","Zamfara","Bukkuyum","2017-35","1"
"Measles","Zamfara","Bungudu","2017-35","4"
"Meningitis","Zamfara","Bungudu","2017-35","31"
"Cholera","Zamfara","Bungudu","2017-35","13"
"Measles","Zamfara","Gummi","2017-35","0"
"Meningitis","Zamfara","Gummi","2017-35","11"
"Cholera","Zamfara","Gummi","2017-35","17"
"Measles","Zamfara","Gusau","2017-35","21"
"Meningitis","Zamfara","Gusau","2017-35","38"
"Cholera","Zamfara","Gusau","2017-35","7"
"Measles","Zamfara","Kaura Namoda","2017-35","7"
"Meningitis","Zamfara","Kaura Namoda","2017-35","14"
"Cholera","Zamfara","Kaura Namoda","2017-35","0"
"Measles","Zamfara","Maradun","2017-35","1"
"Meningitis","Zamfara","Maradun","2017-35","2"
"Cholera","Zamfara","Maradun","2017-35","3"
"Meningitis","Zamfara","Maru","2017-35","0"
"Cholera","Zamfara","Maru","2017-35","0"
"Measles","Zamfara","Shinkafi","2017-35","10"
"Meningitis","Zamfara","Shinkafi","2017-35","8"
"Cholera","Zamfara","Shinkafi","2017-35","3"
"Measles","Zamfara","Talata Mafara","2017-35","0"
"Meningitis","Zamfara","Talata Mafara","2017-35","7"
"Cholera","Zamfara","Talata Mafara","2017-35","35"
"Measles","Zamfara","Tsafe","2017-35","0"
"Meningitis","Zamfara","Tsafe","2017-35","51"
"Measles","Zamfara","Zurmi","2017-35","0"
"Meningitis","Zamfara","Zurmi","2017-35","3"
"Cholera","Zamfara","Zurmi","2017-35","0"
"Measles","Kebbi","Aliero","2017-36","2"
"Meningitis","Kebbi","Aliero","2017-36","11"
"Cholera","Kebbi","Aliero","2017-36","14"
"Measles","Kebbi","Arewa","2017-36","1"
"Meningitis","Kebbi","Arewa","2017-36","2"
"Cholera","Kebbi","Arewa","2017-36","11"
"Measles","Kebbi","Argungu","2017-36","0"
"Meningitis","Kebbi","Argungu","2017-36","8"
"Cholera","Kebbi","Argungu","2017-36","5"
"Meningitis","Kebbi","Augie","2017-36","0"
"Cholera","Kebbi","Augie","2017-36","1"
"Measles","Kebbi","Bagudo","2017-36","6"
"Meningitis","Kebbi","Bagudo","2017-36","2"
"Cholera","Kebbi","Bagudo","2017-36","2"
"Measles","Kebbi","Birnin Kebbi","2017-36","14"
"Meningitis","Kebbi","Birnin Kebbi","2017-36","3"
"Cholera","Kebbi","Birnin Kebbi","2017-36","0"
"Measles","Kebbi","Bunza","2017-36","4"
"Meningitis","Kebbi","Bunza","2017-36","0"
"Cholera","Kebbi","Bunza","2017-36","1"
"Measles","Kebbi","Dandi","2017-36","1"
"Meningitis","Kebbi","Dandi","2017-36","2"
"Cholera","Kebbi","Dandi","2017-36","0"
"Measles","Kebbi","Danko Wasagu","2017-36","1"
"Meningitis","Kebbi","Danko Wasagu","2017-36","4"
"Measles","Kebbi","Fakai","2017-36","3"
"Meningitis","Kebbi","Fakai","2017-36","5"
"Cholera","Kebbi","Fakai","2017-36","0"
"Measles","Kebbi","Gwandu","2017-36","13"
"Meningitis","Kebbi","Gwandu","2017-36","44"
"Cholera","Kebbi","Gwandu","2017-36","8"
"Measles","Kebbi","Jega","2017-36","4"
"Meningitis","Kebbi","Jega","2017-36","4"
"Measles","Kebbi","Kalgo","2017-36","1"
"Meningitis","Kebbi","Kalgo","2017-36","0"
"Cholera","Kebbi","Kalgo","2017-36","1"
"Measles","Kebbi","Koko Besse","2017-36","1"
"Meningitis","Kebbi","Koko Besse","2017-36","24"
"Cholera","Kebbi","Koko Besse","2017-36","5"
"Measles","Kebbi","Maiyama","2017-36","2"
"Meningitis","Kebbi","Maiyama","2017-36","25"
"Cholera","Kebbi","Maiyama","2017-36","0"
"Measles","Kebbi","Ngaski","2017-36","0"
"Meningitis","Kebbi","Ngaski","2017-36","0"
"Cholera","Kebbi","Ngaski","2017-36","1"
"Measles","Kebbi","Sakaba","2017-36","15"
"Meningitis","Kebbi","Sakaba","2017-36","0"
"Cholera","Kebbi","Sakaba","2017-36","0"
"Measles","Kebbi","Shanga","2017-36","1"
"Meningitis","Kebbi","Shanga","2017-36","0"
"Cholera","Kebbi","Shanga","2017-36","5"
"Measles","Kebbi","Suru","2017-36","8"
"Meningitis","Kebbi","Suru","2017-36","0"
"Cholera","Kebbi","Suru","2017-36","11"
"Measles","Kebbi","Yauri","2017-36","0"
"Cholera","Kebbi","Yauri","2017-36","3"
"Measles","Kebbi","Zuru","2017-36","9"
"Meningitis","Kebbi","Zuru","2017-36","0"
"Cholera","Kebbi","Zuru","2017-36","3"
"Measles","Niger","Agaie","2017-36","0"
"Meningitis","Niger","Agaie","2017-36","1"
"Cholera","Niger","Agaie","2017-36","18"
"Measles","Niger","Agwara","2017-36","1"
"Meningitis","Niger","Agwara","2017-36","1"
"Cholera","Niger","Agwara","2017-36","3"
"Measles","Niger","Bida","2017-36","5"
"Meningitis","Niger","Bida","2017-36","1"
"Cholera","Niger","Bida","2017-36","13"
"Measles","Niger","Borgu","2017-36","0"
"Meningitis","Niger","Borgu","2017-36","33"
"Cholera","Niger","Borgu","2017-36","10"
"Measles","Niger","Bosso","2017-36","1"
"Meningitis","Niger","Bosso","2017-36","0"
"Cholera","Niger","Bosso","2017-36","0"
"Measles","Niger","Chanchaga","2017-36","0"
"Meningitis","Niger","Chanchaga","2017-36","0"
"Cholera","Niger","Chanchaga","2017-36","2"
"Measles","Niger","Edati","2017-36","18"
"Meningitis","Niger","Edati","2017-36","20"
"Cholera","Niger","Edati","2017-36","1"
"Measles","Niger","Gbako","2017-36","0"
"Meningitis","Niger","Gbako","2017-36","0"
"Measles","Niger","Gurara","2017-36","2"
"Meningitis","Niger","Gurara","2017-36","18"
"Cholera","Niger","Gurara","2017-36","0"
"Measles","Niger","Katcha","2017-36","0"
"Cholera","Niger","Katcha","2017-36","9"
"Measles","Niger","Kontagora","2017-36","2"
"Meningitis","Niger","Kontagora","2017-36","0"
"Cholera","Niger","Kontagora","2017-36","0"
"Measles","Niger","Lapai","2017-36","0"
"Meningitis","Niger","Lapai","2017-36","1"
"Cholera","Niger","Lapai","2017-36","1"
"Measles","Niger","Lavun","2017-36","5"
"Meningitis","Niger","Lavun","2017-36","0"
"Cholera","Niger","Lavun","2017-36","2"
"Measles","Niger","Magama","2017-36","0"
"Cholera","Niger","Magama","2017-36","0"
"Meningitis","Niger","Mariga","2017-36","8"
"Cholera","Niger","Mariga","2017-36","6"
"Measles","Niger","Mashegu","2017-36","32"
"Meningitis","Niger","Mashegu","2017-36","0"
"Cholera","Niger","Mashegu","2017-36","0"
"Measles","Niger","Mokwa","2017-36","4"
"Meningitis","Niger","Mokwa","2017-36","9"
"Cholera","Niger","Mokwa","2017-36","0"
"Measles","Niger","Muya","2017-36","0"
"Meningitis","Niger","Muya","2017-36","1"
"Cholera","Niger","Muya","2017-36","0"
"Measles","Niger","Paikoro","2017-36","0"
"Meningitis","Niger","Paikoro","2017-36","17"
"Cholera","Niger","Paikoro","2017-36","14"
"Measles","Niger","Rafi","2017-36","13"
"Meningitis","Niger","Rafi","2017-36","15"
"Cholera","Niger","Rafi","2017-36","10"
"Measles","Niger","Rijau","2017-36","3"
"Meningitis","Niger","Rijau","2017-36","15"
"Cholera","Niger","Rijau","2017-36","0"
"Meningitis","Niger","Shiroro","2017-36","46"
"Cholera","Niger","Shiroro","2017-36","0"
"Measles","Niger","Suleja","2017-36","4"
"Meningitis","Niger","Suleja","2017-36","0"
"Cholera","Niger","Suleja","2017-36","2"
"Measles","Niger","Tafa","2017-36","0"
"Meningitis","Niger","Tafa","2017-36","2"
"Cholera","Niger","Tafa","2017-36","0"
"Measles","Niger","Wushishi","2017-36","0"
"Meningitis","Niger","Wushishi","2017-36","0"
"Cholera","Niger","Wushishi","2017-36","14"
"Measles","Sokoto","Binji","2017-36","3"
"Meningitis","Sokoto","Binji","2017-36","15"
"Cholera","Sokoto","Binji","2017-36","0"
"Measles","Sokoto","Bodinga","2017-36","1"
"Meningitis","Sokoto","Bodinga","2017-36","23"
"Cholera","Sokoto","Bodinga","2017-36","2"
"Measles","Sokoto","Dange Shuni","2017-36","2"
"Meningitis","Sokoto","Dange Shuni","2017-36","0"
"Cholera","Sokoto","Dange Shuni","2017-36","0"
"Measles","Sokoto","Gada","2017-36","0"
"Meningitis","Sokoto","Gada","2017-36","0"
"Cholera","Sokoto","Gada","2017-36","3"
"Meningitis","Sokoto","Goronyo","2017-36","0"
"Cholera","Sokoto","Goronyo","2017-36","17"
"Measles","Sokoto","Gudu","2017-36","3"
"Meningitis","Sokoto","Gudu","2017-36","0"
"Cholera","Sokoto","Gudu","2017-36","3"
"Measles","Sokoto","Gwadabawa","2017-36","4"
"Meningitis","Sokoto","Gwadabawa","2017-36","0"
"Cholera","Sokoto","Gwadabawa","2017-36","38"
"Measles","Sokoto","Illela","2017-36","3"
"Meningitis","Sokoto","Illela","2017-36","11"
"Cholera","Sokoto","Illela","2017-36","8"
"Measles","Sokoto","Isa","2017-36","2"
"Meningitis","Sokoto","Isa","2017-36","9"
"Cholera","Sokoto","Isa","2017-36","21"
"Measles","Sokoto","Kebbe","2017-36","19"
"Meningitis","Sokoto","Kebbe","2017-36","0"
"Cholera","Sokoto","Kebbe","2017-36","0"
"Measles","Sokoto","Kware","2017-36","0"
"Meningitis","Sokoto","Kware","2017-36","4"
"Cholera","Sokoto","Kware","2017-36","0"
"Measles","Sokoto","Rabah","2017-36","4"
"Meningitis","Sokoto","Rabah","2017-36","7"
"Cholera","Sokoto","Rabah","2017-36","3"
"Measles","Sokoto","Sabon Birni","2017-36","4"
"Meningitis","Sokoto","Sabon Birni","2017-36","0"
"Cholera","Sokoto","Sabon Birni","2017-36","0"
"Meningitis","Sokoto","Shagari","2017-36","22"
"Cholera","Sokoto","Shagari","2017-36","0"
"Measles","Sokoto","Silame","2017-36","6"
"Meningitis","Sokoto","Silame","2017-36","4"
"Cholera","Sokoto","Silame","2017-36","0"
"Measles","Sokoto","Sokoto North","2017-36","21"
"Meningitis","Sokoto","Sokoto North","2017-36","5"
"Cholera","Sokoto","Sokoto North","2017-36","1"
"Measles","Sokoto","Sokoto South","2017-36","0"
"Meningitis","Sokoto","Sokoto South","2017-36","19"
"Cholera","Sokoto","Sokoto South","2017-36","18"
"Measles","Sokoto","Tambuwal","2017-36","0"
"Meningitis","Sokoto","Tambuwal","2017-36","0"
"Cholera","Sokoto","Tambuwal","2017-36","10"
"Measles","Sokoto","Tangaza","2017-36","36"
"Meningitis","Sokoto","Tangaza","2017-36","42"
"Cholera","Sokoto","Tangaza","2017-36","4"
"Measles","Sokoto","Tureta","2017-36","10"
"Cholera","Sokoto","Tureta","2017-36","0"
"Measles","Sokoto","Wamako","2017-36","18"
"Cholera","Sokoto","Wamako","2017-36","1"
"Measles","Sokoto","Wurno","2017-36","9"
"Meningitis","Sokoto","Wurno","2017-36","6"
"Cholera","Sokoto","Wurno","2017-36","10"
"Measles","Sokoto","Yabo","2017-36","1"
"Meningitis","Sokoto","Yabo","2017-36","2"
"Cholera","Sokoto","Yabo","2017-36","3"
"Measles","Zamfara","Anka","2017-36","12"
"Meningitis","Zamfara","Anka","2017-36","0"
"Cholera","Zamfara","Anka","2017-36","6"
"Measles","Zamfara","Bakura","2017-36","1"
"Meningitis","Zamfara","Bakura","2017-36","0"
"Cholera","Zamfara","Bakura","2017-36","6"
"Measles","Zamfara","Birnin Magaji","2017-36","0"
"Cholera","Zamfara","Birnin Magaji","2017-36","59"
"Measles","Zamfara","Bukkuyum","2017-36","0"
"Meningitis","Zamfara","Bukkuyum","2017-36","2"
"Cholera","Zamfara","Bukkuyum","2017-36","0"
"Measles","Zamfara","Bungudu","2017-36","30"
"Meningitis","Zamfara","Bungudu","2017-36","16"
"Cholera","Zamfara","Bungudu","2017-36","2"
"Measles","Zamfara","Gummi","2017-36","7"
"Meningitis","Zamfara","Gummi","2017-36","0"
"Cholera","Zamfara","Gummi","2017-36","0"
"Measles","Zamfara","Gusau","2017-36","8"
"Meningitis","Zamfara","Gusau","2017-36","3"
"Cholera","Zamfara","Gusau","2017-36","10"
"Measles","Zamfara","Kaura Namoda","2017-36","0"
"Meningitis","Zamfara","Kaura Namoda","2017-36","0"
"Measles","Zamfara","Maradun","2017-36","15"
"Meningitis","Zamfara","Maradun","2017-36","10"
"Cholera","Zamfara","Maradun","2017-36","0"
"Measles","Zamfara","Maru","2017-36","7"
"Meningitis","Zamfara","Maru","2017-36","2"
"Cholera","Zamfara","Maru","2017-36","0"
"Measles","Zamfara","Shinkafi","2017-36","3"
"Meningitis","Zamfara","Shinkafi","2017-36","10"
"Cholera","Zamfara","Shinkafi","2017-36","2"
"Measles","Zamfara","Talata Mafara","2017-36","25"
"Meningitis","Zamfara","Talata Mafara","2017-36","8"
"Cholera","Zamfara","Talata Mafara","2017-36","15"
"Measles","Zamfara","Tsafe","2017-36","14"
"Meningitis","Zamfara","Tsafe","2017-36","5"
"Cholera","Zamfara","Tsafe","2017-36","40"
"Measles","Zamfara","Zurmi","2017-36","1"
"Meningitis","Zamfara","Zurmi","2017-36","0"
"Cholera","Zamfara","Zurmi","2017-36","4"
"Measles","Kebbi","Aliero","2017-37","0"
"Meningitis","Kebbi","Aliero","2017-37","0"
"Measles","Kebbi","Arewa","2017-37","1"
"Cholera","Kebbi","Arewa","2017-37","43"
"Measles","Kebbi","Argungu","2017-37","0"
"Meningitis","Kebbi","Argungu","2017-37","47"
"Cholera","Kebbi","Argungu","2017-37","2"
"Measles","Kebbi","Augie","2017-37","3"
"Cholera","Kebbi","Augie","2017-37","4"
"Measles","Kebbi","Bagudo","2017-37","0"
"Cholera","Kebbi","Bagudo","2017-37","28"
"Measles","Kebbi","Birnin Kebbi","2017-37","10"
"Meningitis","Kebbi","Birnin Kebbi","2017-37","6"
"Cholera","Kebbi","Birnin Kebbi","2017-37","0"
"Measles","Kebbi","Bunza","2017-37","13"
"Meningitis","Kebbi","Bunza","2017-37","7"
"Cholera","Kebbi","Bunza","2017-37","0"
"Measles","Kebbi","Dandi","2017-37","0"
"Meningitis","Kebbi","Dandi","2017-37","0"
"Cholera","Kebbi","Dandi","2017-37","6"
"Measles","Kebbi","Danko Wasagu","2017-37","7"
"Meningitis","Kebbi","Danko Wasagu","2017-37","1"
"Cholera","Kebbi","Danko Wasagu","2017-37","1"
"Measles","Kebbi","Fakai","2017-37","0"
"Meningitis","Kebbi","Fakai","2017-37","0"
"Cholera","Kebbi","Fakai","2017-37","6"
"Meningitis","Kebbi","Gwandu","2017-37","7"
"Cholera","Kebbi","Gwandu","2017-37","1"
"Measles","Kebbi","Jega","2017-37","0"
"Meningitis","Kebbi","Jega","2017-37","0"
"Cholera","Kebbi","Jega","2017-37","0"
"Measles","Kebbi","Kalgo","2017-37","22"
"Meningitis","Kebbi","Kalgo","2017-37","0"
"Cholera","Kebbi","Kalgo","2017-37","3"
"Measles","Kebbi","Koko Besse","2017-37","5"
"Meningitis","Kebbi","Koko Besse","2017-37","0"
"Measles","Kebbi","Maiyama","2017-37","22"
"Meningitis","Kebbi","Maiyama","2017-37","33"
"Cholera","Kebbi","Maiyama","2017-37","3"
"Measles","Kebbi","Ngaski","2017-37","14"
"Meningitis","Kebbi","Ngaski","2017-37","7"
"Cholera","Kebbi","Ngaski","2017-37","3"
"Measles","Kebbi","Sakaba","2017-37","1"
"Meningitis","Kebbi","Sakaba","2017-37","17"
"Cholera","Kebbi","Sakaba","2017-37","24"
"Measles","Kebbi","Shanga","2017-37","2"
"Cholera","Kebbi","Shanga","2017-37","0"
"Measles","Kebbi","Suru","2017-37","1"
"Meningitis","Kebbi","Suru","2017-37","10"
"Cholera","Kebbi","Suru","2017-37","12"
"Measles","Kebbi","Yauri","2017-37","15"
"Meningitis","Kebbi","Yauri","2017-37","0"
"Cholera","Kebbi","Yauri","2017-37","4"
"Measles","Kebbi","Zuru","2017-37","0"
"Cholera","Kebbi","Zuru","2017-37","0"
"Measles","Niger","Agaie","2017-37","0"
"Meningitis","Niger","Agaie","2017-37","3"
"Cholera","Niger","Agaie","2017-37","0"
"Measles","Niger","Agwara","2017-37","0"
"Cholera","Niger","Agwara","2017-37","0"
"Measles","Niger","Bida","2017-37","11"
"Meningitis","Niger","Bida","2017-37","0"
"Cholera","Niger","Bida","2017-37","36"
"Measles","Niger","Borgu","2017-37","0"
"Meningitis","Niger","Borgu","2017-37","1"
"Cholera","Niger","Borgu","2017-37","0"
"Meningitis","Niger","Bosso","2017-37","1"
"Cholera","Niger","Bosso","2017-37","4"
"Measles","Niger","Chanchaga","2017-37","0"
"Cholera","Niger","Chanchaga","2017-37","14"
"Measles","Niger","Edati","2017-37","0"
"Meningitis","Niger","Edati","2017-37","2"
"Cholera","Niger","Edati","2017-37","0"
"Measles","Niger","Gbako","2017-37","2"
"Measles","Niger","Gurara","2017-37","10"
"Meningitis","Niger","Gurara","2017-37","10"
"Cholera","Niger","Gurara","2017-37","4"
"Measles","Niger","Katcha","2017-37","3"
"Meningitis","Niger","Katcha","2017-37","0"
"Cholera","Niger","Katcha","2017-37","5"
"Measles","Niger","Kontagora","2017-37","2"
"Meningitis","Niger","Kontagora","2017-37","0"
"Cholera","Niger","Kontagora","2017-37","11"
"Meningitis","Niger","Lapai","2017-37","6"
"Cholera","Niger","Lapai","2017-37","5"
"Measles","Niger","Lavun","2017-37","16"
"Meningitis","Niger","Lavun","2017-37","22"
"Cholera","Niger","Lavun","2017-37","13"
"Measles","Niger","Magama","2017-37","0"
"Meningitis","Niger","Magama","2017-37","0"
"Cholera","Niger","Magama","2017-37","0"
"Measles","Niger","Mariga","2017-37","0"
"Meningitis","Niger","Mariga","2017-37","0"
"Cholera","Niger","Mariga","2017-37","13"
"Measles","Niger","Mashegu","2017-37","0"
"Meningitis","Niger","Mashegu","2017-37","1"
"Cholera","Niger","Mashegu","2017-37","7"
"Measles","Niger","Mokwa","2017-37","1"
"Meningitis","Niger","Mokwa","2017-37","13"
"Measles","Niger","Muya","2017-37","1"
"Meningitis","Niger","Muya","2017-37","10"
"Measles","Niger","Paikoro","2017-37","2"
"Meningitis","Niger","Paikoro","2017-37","0"
"Cholera","Niger","Paikoro","2017-37","9"
"Measles","Niger","Rafi","2017-37","3"
"Meningitis","Niger","Rafi","2017-37","10"
"Cholera","Niger","Rafi","2017-37","8"
"Measles","Niger","Rijau","2017-37","4"
"Cholera","Niger","Rijau","2017-37","2"
"Measles","Niger","Shiroro","2017-37","2"
"Meningitis","Niger","Shiroro","2017-37","16"
"Measles","Niger","Suleja","2017-37","2"
"Meningitis","Niger","Suleja","2017-37","30"
"Cholera","Niger","Tafa","2017-37","5"
"Measles","Niger","Wushishi","2017-37","39"
"Meningitis","Niger","Wushishi","2017-37","0"
"Cholera","Niger","Wushishi","2017-37","8"
"Measles","Sokoto","Binji","2017-37","0"
"Meningitis","Sokoto","Binji","2017-37","2"
"Cholera","Sokoto","Binji","2017-37","13"
"Measles","Sokoto","Bodinga","2017-37","72"
"Meningitis","Sokoto","Bodinga","2017-37","1"
"Cholera","Sokoto","Bodinga","2017-37","7"
"Meningitis","Sokoto","Dange Shuni","2017-37","16"
"Cholera","Sokoto","Dange Shuni","2017-37","60"
"Measles","Sokoto","Gada","2017-37","6"
"Meningitis","Sokoto","Gada","2017-37","1"
"Cholera","Sokoto","Gada","2017-37","0"
"Measles","Sokoto","Goronyo","2017-37","34"
"Cholera","Sokoto","Goronyo","2017-37","1"
"Measles","Sokoto","Gudu","2017-37","0"
"Meningitis","Sokoto","Gudu","2017-37","0"
"Cholera","Sokoto","Gudu","2017-37","0"
"Measles","Sokoto","Gwadabawa","2017-37","0"
"Meningitis","Sokoto","Gwadabawa","2017-37","5"
"Cholera","Sokoto","Gwadabawa","2017-37","0"
"Meningitis","Sokoto","Illela","2017-37","0"
"Cholera","Sokoto","Illela","2017-37","3"
