"disease","district","region","epiweek","cas","dec"
"Malnutrition Sévère","Bere","Tandjile","2017-10","4",""
"Malnutrition Sévère","Daffra","Tandjile","2017-10","",""
"Malnutrition Sévère","Biltine","Wadi Fira","2017-10","33",""
"Malnutrition Sévère","Guereda","Wadi Fira","2017-10","21",""
"Malnutrition Sévère","Iriba","Wadi Fira","2017-10","",""
"Malnutrition Sévère","Matadjana","Wadi Fira","2017-10","","2"
"Malnutrition Modérée","Ati","Batha","2017-10","12",""
"Malnutrition Modérée","Oum Hadjer","Batha","2017-10","",""
"Malnutrition Modérée","Alifat","Batha","2017-10","5",""
"Malnutrition Modérée","Assinet","Batha","2017-10","","1"
"Malnutrition Modérée","Yao","Batha","2017-10","1","1"
"Malnutrition Modérée","Amdjarasse","Ennedi Est","2017-10","3","1"
"Malnutrition Modérée","Bahaï","Ennedi Est","2017-10","",""
"Malnutrition Modérée","Kawra","Ennedi Est","2017-10","3",""
"Malnutrition Modérée","Fada","Ennedi Ouest","2017-10","",""
"Malnutrition Modérée","Kalaït","Ennedi Ouest","2017-10","5",""
"Malnutrition Modérée","Massenya","Chari-Baguirmi","2017-10","7",""
"Malnutrition Modérée","Dourbali","Chari-Baguirmi","2017-10","4",""
"Malnutrition Modérée","Mandalia","Chari-Baguirmi","2017-10","4",""
"Malnutrition Modérée","Bousso","Chari-Baguirmi","2017-10","5","1"
"Malnutrition Modérée","Ba Illi","Chari-Baguirmi","2017-10","2","1"
"Malnutrition Modérée","Kouno","Chari-Baguirmi","2017-10","5",""
"Malnutrition Modérée","Mongo","Guera","2017-10","","2"
"Malnutrition Modérée","Bitkine","Guera","2017-10","5",""
"Malnutrition Modérée","Melfi","Guera","2017-10","3",""
"Malnutrition Modérée","Mangalme","Guera","2017-10","",""
"Malnutrition Modérée","Massakory","Hadjer Lamis","2017-10","2","2"
"Malnutrition Modérée","Bokoro","Hadjer Lamis","2017-10","31","1"
"Malnutrition Modérée","Massaguet","Hadjer Lamis","2017-10","15",""
"Malnutrition Modérée","Mani","Hadjer Lamis","2017-10","46",""
"Malnutrition Modérée","Bardai","Tibesti","2017-10","3",""
"Malnutrition Modérée","Zouar","Tibesti","2017-10","5","1"
"Malnutrition Modérée","Mao","Kanem","2017-10","","2"
"Malnutrition Modérée","Nokou","Kanem","2017-10","3",""
"Malnutrition Modérée","Rig Rig","Kanem","2017-10","53",""
"Malnutrition Modérée","Mondo","Kanem","2017-10","3",""
"Malnutrition Modérée","Moussoro","Barh-Elgazal","2017-10","",""
"Malnutrition Modérée","Chaddra","Barh-Elgazal","2017-10","","2"
"Malnutrition Modérée","Salal","Barh-Elgazal","2017-10","3",""
"Malnutrition Modérée","Michemire","Barh-Elgazal","2017-10","9","1"
"Malnutrition Modérée","Bol","Lac","2017-10","28","1"
"Malnutrition Modérée","Bagassoula","Lac","2017-10","5",""
"Malnutrition Modérée","Ngouri","Lac","2017-10","17",""
"Malnutrition Modérée","Kouloudia","Lac","2017-10","",""
"Malnutrition Modérée","Liwa","Lac","2017-10","1",""
"Malnutrition Modérée","Isseirom","Lac","2017-10","4",""
"Malnutrition Modérée","Moundou","Logone Occidental","2017-10","7",""
"Malnutrition Modérée","Laokassy","Logone Occidental","2017-10","",""
"Malnutrition Modérée","Benoye","Logone Occidental","2017-10","1","1"
"Malnutrition Modérée","Doba","Logone Oriental","2017-10","1",""
"Malnutrition Modérée","Bodo","Logone Oriental","2017-10","","2"
"Malnutrition Modérée","Bebeto","Logone Oriental","2017-10","","1"
"Malnutrition Modérée","Bébédja","Logone Oriental","2017-10","2","1"
"Malnutrition Modérée","Gore","Logone Oriental","2017-10","4",""
"Malnutrition Modérée","Béssao","Logone Oriental","2017-10","22",""
"Malnutrition Modérée","Larmanaye","Logone Oriental","2017-10","","1"
"Malnutrition Modérée","Koumra","Mandoul","2017-10","",""
"Malnutrition Modérée","Goundi","Mandoul","2017-10","","1"
"Malnutrition Modérée","Moissala","Mandoul","2017-10","",""
"Malnutrition Modérée","Bedjondo","Mandoul","2017-10","",""
"Malnutrition Modérée","Bouna","Mandoul","2017-10","2",""
"Malnutrition Modérée","Bongor","Mayo-Kebbi-Est","2017-10","11",""
"Malnutrition Modérée","Gounou Gaya","Mayo-Kebbi-Est","2017-10","2",""
"Malnutrition Modérée","Guelendeng","Mayo-Kebbi-Est","2017-10","19",""
"Malnutrition Modérée","Fianga","Mayo-Kebbi-Est","2017-10","3",""
"Malnutrition Modérée","Pont Carol","Mayo-Kebbi-Est","2017-10","",""
"Malnutrition Modérée","Moulkou","Mayo-Kebbi-Est","2017-10","1",""
"Malnutrition Modérée","Youe","Mayo-Kebbi-Est","2017-10","6","1"
"Malnutrition Modérée","Pala","Mayo-Kebbi-Ouest","2017-10","2",""
"Malnutrition Modérée","Lere","Mayo-Kebbi-Ouest","2017-10","",""
"Malnutrition Modérée","Gagal","Mayo-Kebbi-Ouest","2017-10","17",""
"Malnutrition Modérée","Torrock","Mayo-Kebbi-Ouest","2017-10","",""
"Malnutrition Modérée","Lagon","Mayo-Kebbi-Ouest","2017-10","",""
"Malnutrition Modérée","Binder","Mayo-Kebbi-Ouest","2017-10","",""
"Malnutrition Modérée","Lame","Mayo-Kebbi-Ouest","2017-10","1","1"
"Malnutrition Modérée","Sarh","Moyen-Chari","2017-10","",""
"Malnutrition Modérée","Danamadji","Moyen-Chari","2017-10","47","2"
"Malnutrition Modérée","Biobé Singako","Moyen-Chari","2017-10","","1"
"Malnutrition Modérée","Ndjamena-Nord","Ndjamena","2017-10","18","1"
"Malnutrition Modérée","Ndjamena-Centre","Ndjamena","2017-10","3",""
"Malnutrition Modérée","Ndjamena-Sud","Ndjamena","2017-10","21","1"
"Malnutrition Modérée","Ndjamena-Est","Ndjamena","2017-10","2",""
"Malnutrition Modérée","Faya","Borkou","2017-10","2",""
"Malnutrition Modérée","Kirdimi","Borkou","2017-10","",""
"Malnutrition Modérée","Abeche","Ouaddai","2017-10","9",""
"Malnutrition Modérée","Abdi","Ouaddai","2017-10","",""
"Malnutrition Modérée","Adre","Ouaddai","2017-10","6",""
"Malnutrition Modérée","Abougoudam","Ouaddai","2017-10","",""
"Malnutrition Modérée","Gozbeida","Sila","2017-10","",""
"Malnutrition Modérée","Amdam","Sila","2017-10","",""
"Malnutrition Modérée","Tissi","Sila","2017-10","","1"
"Malnutrition Modérée","Koukou Angarana","Sila","2017-10","1",""
"Malnutrition Modérée","Amtiman","Salamat","2017-10","2",""
"Malnutrition Modérée","Aboudeia","Salamat","2017-10","1",""
"Malnutrition Modérée","Haraze Mangueigne","Salamat","2017-10","22",""
"Malnutrition Modérée","Lai","Tandjile","2017-10","1",""
"Malnutrition Modérée","Dono Manga","Tandjile","2017-10","1",""
"Malnutrition Modérée","Kelo","Tandjile","2017-10","4",""
"Malnutrition Modérée","Bere","Tandjile","2017-10","",""
"Malnutrition Modérée","Daffra","Tandjile","2017-10","2",""
"Malnutrition Modérée","Biltine","Wadi Fira","2017-10","",""
"Malnutrition Modérée","Guereda","Wadi Fira","2017-10","3",""
"Malnutrition Modérée","Iriba","Wadi Fira","2017-10","",""
"Malnutrition Modérée","Matadjana","Wadi Fira","2017-10","11",""
"Piqure de Scorpion","Ati","Batha","2017-11","","1"
"Piqure de Scorpion","Oum Hadjer","Batha","2017-11","6","1"
"Piqure de Scorpion","Alifat","Batha","2017-11","",""
"Piqure de Scorpion","Assinet","Batha","2017-11","14","1"
"Piqure de Scorpion","Yao","Batha","2017-11","8",""
"Piqure de Scorpion","Amdjarasse","Ennedi Est","2017-11","1",""
"Piqure de Scorpion","Bahaï","Ennedi Est","2017-11","",""
"Piqure de Scorpion","Kawra","Ennedi Est","2017-11","",""
"Piqure de Scorpion","Fada","Ennedi Ouest","2017-11","",""
"Piqure de Scorpion","Kalaït","Ennedi Ouest","2017-11","2",""
"Piqure de Scorpion","Massenya","Chari-Baguirmi","2017-11","1",""
"Piqure de Scorpion","Dourbali","Chari-Baguirmi","2017-11","12",""
"Piqure de Scorpion","Mandalia","Chari-Baguirmi","2017-11","4",""
"Piqure de Scorpion","Bousso","Chari-Baguirmi","2017-11","1","1"
"Piqure de Scorpion","Ba Illi","Chari-Baguirmi","2017-11","",""
"Piqure de Scorpion","Kouno","Chari-Baguirmi","2017-11","","1"
"Piqure de Scorpion","Mongo","Guera","2017-11","6",""
"Piqure de Scorpion","Bitkine","Guera","2017-11","","1"
"Piqure de Scorpion","Melfi","Guera","2017-11","",""
"Piqure de Scorpion","Mangalme","Guera","2017-11","14",""
"Piqure de Scorpion","Massakory","Hadjer Lamis","2017-11","4",""
"Piqure de Scorpion","Bokoro","Hadjer Lamis","2017-11","",""
"Piqure de Scorpion","Massaguet","Hadjer Lamis","2017-11","1","1"
"Piqure de Scorpion","Mani","Hadjer Lamis","2017-11","","1"
"Piqure de Scorpion","Bardai","Tibesti","2017-11","21","2"
"Piqure de Scorpion","Zouar","Tibesti","2017-11","24",""
"Piqure de Scorpion","Mao","Kanem","2017-11","",""
"Piqure de Scorpion","Nokou","Kanem","2017-11","2",""
"Piqure de Scorpion","Rig Rig","Kanem","2017-11","",""
"Piqure de Scorpion","Mondo","Kanem","2017-11","11",""
"Piqure de Scorpion","Moussoro","Barh-Elgazal","2017-11","",""
"Piqure de Scorpion","Chaddra","Barh-Elgazal","2017-11","20","1"
"Piqure de Scorpion","Salal","Barh-Elgazal","2017-11","13",""
"Piqure de Scorpion","Michemire","Barh-Elgazal","2017-11","3","2"
"Piqure de Scorpion","Bol","Lac","2017-11","5",""
"Piqure de Scorpion","Bagassoula","Lac","2017-11","3","1"
"Piqure de Scorpion","Ngouri","Lac","2017-11","13",""
"Piqure de Scorpion","Kouloudia","Lac","2017-11","",""
"Piqure de Scorpion","Liwa","Lac","2017-11","19",""
"Piqure de Scorpion","Isseirom","Lac","2017-11","13","1"
"Piqure de Scorpion","Moundou","Logone Occidental","2017-11","2",""
"Piqure de Scorpion","Laokassy","Logone Occidental","2017-11","",""
"Piqure de Scorpion","Benoye","Logone Occidental","2017-11","3","2"
"Piqure de Scorpion","Doba","Logone Oriental","2017-11","12",""
"Piqure de Scorpion","Bodo","Logone Oriental","2017-11","4",""
"Piqure de Scorpion","Bebeto","Logone Oriental","2017-11","1",""
"Piqure de Scorpion","Bébédja","Logone Oriental","2017-11","8","1"
"Piqure de Scorpion","Gore","Logone Oriental","2017-11","21",""
"Piqure de Scorpion","Béssao","Logone Oriental","2017-11","",""
"Piqure de Scorpion","Larmanaye","Logone Oriental","2017-11","26","1"
"Piqure de Scorpion","Koumra","Mandoul","2017-11","1",""
"Piqure de Scorpion","Goundi","Mandoul","2017-11","","1"
"Piqure de Scorpion","Moissala","Mandoul","2017-11","",""
"Piqure de Scorpion","Bedjondo","Mandoul","2017-11","29",""
"Piqure de Scorpion","Bouna","Mandoul","2017-11","",""
"Piqure de Scorpion","Bongor","Mayo-Kebbi-Est","2017-11","",""
"Piqure de Scorpion","Gounou Gaya","Mayo-Kebbi-Est","2017-11","3",""
"Piqure de Scorpion","Guelendeng","Mayo-Kebbi-Est","2017-11","11",""
"Piqure de Scorpion","Fianga","Mayo-Kebbi-Est","2017-11","",""
"Piqure de Scorpion","Pont Carol","Mayo-Kebbi-Est","2017-11","2",""
"Piqure de Scorpion","Moulkou","Mayo-Kebbi-Est","2017-11","16",""
"Piqure de Scorpion","Youe","Mayo-Kebbi-Est","2017-11","24",""
"Piqure de Scorpion","Pala","Mayo-Kebbi-Ouest","2017-11","13",""
"Piqure de Scorpion","Lere","Mayo-Kebbi-Ouest","2017-11","9","1"
"Piqure de Scorpion","Gagal","Mayo-Kebbi-Ouest","2017-11","",""
"Piqure de Scorpion","Torrock","Mayo-Kebbi-Ouest","2017-11","1",""
"Piqure de Scorpion","Lagon","Mayo-Kebbi-Ouest","2017-11","9",""
"Piqure de Scorpion","Binder","Mayo-Kebbi-Ouest","2017-11","",""
"Piqure de Scorpion","Lame","Mayo-Kebbi-Ouest","2017-11","4",""
"Piqure de Scorpion","Sarh","Moyen-Chari","2017-11","10",""
"Piqure de Scorpion","Danamadji","Moyen-Chari","2017-11","",""
"Piqure de Scorpion","Kyabe","Moyen-Chari","2017-11","","2"
"Piqure de Scorpion","Biobé Singako","Moyen-Chari","2017-11","","1"
"Piqure de Scorpion","Ndjamena-Nord","Ndjamena","2017-11","",""
"Piqure de Scorpion","Ndjamena-Centre","Ndjamena","2017-11","",""
"Piqure de Scorpion","Ndjamena-Sud","Ndjamena","2017-11","","2"
"Piqure de Scorpion","Ndjamena-Est","Ndjamena","2017-11","","1"
"Piqure de Scorpion","Faya","Borkou","2017-11","1","1"
"Piqure de Scorpion","Kirdimi","Borkou","2017-11","8",""
"Piqure de Scorpion","Abeche","Ouaddai","2017-11","3",""
"Piqure de Scorpion","Abdi","Ouaddai","2017-11","2","2"
"Piqure de Scorpion","Adre","Ouaddai","2017-11","6",""
"Piqure de Scorpion","Abougoudam","Ouaddai","2017-11","",""
"Piqure de Scorpion","Gozbeida","Sila","2017-11","4","2"
"Piqure de Scorpion","Amdam","Sila","2017-11","",""
"Piqure de Scorpion","Tissi","Sila","2017-11","7","2"
"Piqure de Scorpion","Koukou Angarana","Sila","2017-11","68",""
"Piqure de Scorpion","Amtiman","Salamat","2017-11","18",""
"Piqure de Scorpion","Aboudeia","Salamat","2017-11","1","1"
"Piqure de Scorpion","Haraze Mangueigne","Salamat","2017-11","",""
"Piqure de Scorpion","Lai","Tandjile","2017-11","6",""
"Piqure de Scorpion","Dono Manga","Tandjile","2017-11","4",""
"Piqure de Scorpion","Kelo","Tandjile","2017-11","",""
"Piqure de Scorpion","Bere","Tandjile","2017-11","","1"
"Piqure de Scorpion","Daffra","Tandjile","2017-11","3",""
"Piqure de Scorpion","Biltine","Wadi Fira","2017-11","2",""
"Piqure de Scorpion","Guereda","Wadi Fira","2017-11","17",""
"Piqure de Scorpion","Iriba","Wadi Fira","2017-11","",""
"Piqure de Scorpion","Matadjana","Wadi Fira","2017-11","18",""
"Suspicion de Paludisme","Ati","Batha","2017-11","7","2"
"Suspicion de Paludisme","Oum Hadjer","Batha","2017-11","3",""
"Suspicion de Paludisme","Alifat","Batha","2017-11","1","2"
"Suspicion de Paludisme","Assinet","Batha","2017-11","","1"
"Suspicion de Paludisme","Yao","Batha","2017-11","","1"
"Suspicion de Paludisme","Amdjarasse","Ennedi Est","2017-11","21","2"
"Suspicion de Paludisme","Bahaï","Ennedi Est","2017-11","4","2"
"Suspicion de Paludisme","Kawra","Ennedi Est","2017-11","",""
"Suspicion de Paludisme","Fada","Ennedi Ouest","2017-11","","1"
"Suspicion de Paludisme","Kalaït","Ennedi Ouest","2017-11","",""
"Suspicion de Paludisme","Massenya","Chari-Baguirmi","2017-11","5",""
"Suspicion de Paludisme","Dourbali","Chari-Baguirmi","2017-11","",""
"Suspicion de Paludisme","Mandalia","Chari-Baguirmi","2017-11","1","1"
"Suspicion de Paludisme","Bousso","Chari-Baguirmi","2017-11","",""
"Suspicion de Paludisme","Ba Illi","Chari-Baguirmi","2017-11","13",""
"Suspicion de Paludisme","Kouno","Chari-Baguirmi","2017-11","",""
"Suspicion de Paludisme","Mongo","Guera","2017-11","6",""
"Suspicion de Paludisme","Bitkine","Guera","2017-11","10",""
"Suspicion de Paludisme","Melfi","Guera","2017-11","11",""
"Suspicion de Paludisme","Mangalme","Guera","2017-11","",""
"Suspicion de Paludisme","Massakory","Hadjer Lamis","2017-11","2",""
"Suspicion de Paludisme","Bokoro","Hadjer Lamis","2017-11","12",""
"Suspicion de Paludisme","Massaguet","Hadjer Lamis","2017-11","","2"
"Suspicion de Paludisme","Mani","Hadjer Lamis","2017-11","",""
"Suspicion de Paludisme","Bardai","Tibesti","2017-11","2",""
"Suspicion de Paludisme","Zouar","Tibesti","2017-11","","1"
"Suspicion de Paludisme","Mao","Kanem","2017-11","3","2"
"Suspicion de Paludisme","Nokou","Kanem","2017-11","1","1"
"Suspicion de Paludisme","Rig Rig","Kanem","2017-11","3",""
"Suspicion de Paludisme","Mondo","Kanem","2017-11","11",""
"Suspicion de Paludisme","Moussoro","Barh-Elgazal","2017-11","",""
"Suspicion de Paludisme","Chaddra","Barh-Elgazal","2017-11","8","1"
"Suspicion de Paludisme","Salal","Barh-Elgazal","2017-11","",""
"Suspicion de Paludisme","Michemire","Barh-Elgazal","2017-11","2","1"
"Suspicion de Paludisme","Bol","Lac","2017-11","4",""
"Suspicion de Paludisme","Bagassoula","Lac","2017-11","15",""
"Suspicion de Paludisme","Ngouri","Lac","2017-11","9","1"
"Suspicion de Paludisme","Kouloudia","Lac","2017-11","1",""
"Suspicion de Paludisme","Liwa","Lac","2017-11","",""
"Suspicion de Paludisme","Isseirom","Lac","2017-11","4",""
"Suspicion de Paludisme","Moundou","Logone Occidental","2017-11","2","1"
"Suspicion de Paludisme","Laokassy","Logone Occidental","2017-11","12","1"
"Suspicion de Paludisme","Benoye","Logone Occidental","2017-11","48",""
"Suspicion de Paludisme","Doba","Logone Oriental","2017-11","",""
"Suspicion de Paludisme","Bodo","Logone Oriental","2017-11","",""
"Suspicion de Paludisme","Bebeto","Logone Oriental","2017-11","11",""
"Suspicion de Paludisme","Bébédja","Logone Oriental","2017-11","2",""
"Suspicion de Paludisme","Gore","Logone Oriental","2017-11","",""
"Suspicion de Paludisme","Béssao","Logone Oriental","2017-11","1","1"
"Suspicion de Paludisme","Larmanaye","Logone Oriental","2017-11","",""
"Suspicion de Paludisme","Koumra","Mandoul","2017-11","","2"
"Suspicion de Paludisme","Goundi","Mandoul","2017-11","28",""
"Suspicion de Paludisme","Moissala","Mandoul","2017-11","6",""
"Suspicion de Paludisme","Bedjondo","Mandoul","2017-11","","1"
"Suspicion de Paludisme","Bouna","Mandoul","2017-11","2",""
"Suspicion de Paludisme","Bongor","Mayo-Kebbi-Est","2017-11","",""
"Suspicion de Paludisme","Gounou Gaya","Mayo-Kebbi-Est","2017-11","10",""
"Suspicion de Paludisme","Guelendeng","Mayo-Kebbi-Est","2017-11","19",""
"Suspicion de Paludisme","Fianga","Mayo-Kebbi-Est","2017-11","4","1"
"Suspicion de Paludisme","Pont Carol","Mayo-Kebbi-Est","2017-11","1",""
"Suspicion de Paludisme","Moulkou","Mayo-Kebbi-Est","2017-11","8","2"
"Suspicion de Paludisme","Youe","Mayo-Kebbi-Est","2017-11","27",""
"Suspicion de Paludisme","Pala","Mayo-Kebbi-Ouest","2017-11","2",""
"Suspicion de Paludisme","Lere","Mayo-Kebbi-Ouest","2017-11","1","1"
"Suspicion de Paludisme","Gagal","Mayo-Kebbi-Ouest","2017-11","5","2"
"Suspicion de Paludisme","Torrock","Mayo-Kebbi-Ouest","2017-11","",""
"Suspicion de Paludisme","Lagon","Mayo-Kebbi-Ouest","2017-11","","1"
"Suspicion de Paludisme","Binder","Mayo-Kebbi-Ouest","2017-11","1",""
"Suspicion de Paludisme","Lame","Mayo-Kebbi-Ouest","2017-11","7","1"
"Suspicion de Paludisme","Sarh","Moyen-Chari","2017-11","",""
"Suspicion de Paludisme","Danamadji","Moyen-Chari","2017-11","","1"
"Suspicion de Paludisme","Biobé Singako","Moyen-Chari","2017-11","3","2"
"Suspicion de Paludisme","Ndjamena-Nord","Ndjamena","2017-11","",""
"Suspicion de Paludisme","Ndjamena-Centre","Ndjamena","2017-11","",""
"Suspicion de Paludisme","Ndjamena-Sud","Ndjamena","2017-11","1","1"
"Suspicion de Paludisme","Ndjamena-Est","Ndjamena","2017-11","2","1"
"Suspicion de Paludisme","Faya","Borkou","2017-11","3","1"
"Suspicion de Paludisme","Abeche","Ouaddai","2017-11","1",""
"Suspicion de Paludisme","Abdi","Ouaddai","2017-11","4",""
"Suspicion de Paludisme","Adre","Ouaddai","2017-11","","2"
"Suspicion de Paludisme","Abougoudam","Ouaddai","2017-11","1",""
"Suspicion de Paludisme","Gozbeida","Sila","2017-11","16",""
"Suspicion de Paludisme","Amdam","Sila","2017-11","5",""
"Suspicion de Paludisme","Tissi","Sila","2017-11","",""
"Suspicion de Paludisme","Koukou Angarana","Sila","2017-11","","2"
"Suspicion de Paludisme","Amtiman","Salamat","2017-11","1","1"
"Suspicion de Paludisme","Aboudeia","Salamat","2017-11","3",""
"Suspicion de Paludisme","Haraze Mangueigne","Salamat","2017-11","25",""
"Suspicion de Paludisme","Lai","Tandjile","2017-11","",""
"Suspicion de Paludisme","Dono Manga","Tandjile","2017-11","3",""
"Suspicion de Paludisme","Kelo","Tandjile","2017-11","5",""
"Suspicion de Paludisme","Bere","Tandjile","2017-11","6",""
"Suspicion de Paludisme","Daffra","Tandjile","2017-11","3",""
"Suspicion de Paludisme","Biltine","Wadi Fira","2017-11","2",""
"Suspicion de Paludisme","Guereda","Wadi Fira","2017-11","","1"
"Suspicion de Paludisme","Iriba","Wadi Fira","2017-11","",""
"Suspicion de Paludisme","Matadjana","Wadi Fira","2017-11","2","1"
"Paludisme Confirmé","Ati","Batha","2017-11","2",""
"Paludisme Confirmé","Oum Hadjer","Batha","2017-11","6",""
"Paludisme Confirmé","Alifat","Batha","2017-11","",""
"Paludisme Confirmé","Assinet","Batha","2017-11","6",""
"Paludisme Confirmé","Yao","Batha","2017-11","2",""
"Paludisme Confirmé","Amdjarasse","Ennedi Est","2017-11","30","1"
"Paludisme Confirmé","Bahaï","Ennedi Est","2017-11","2",""
"Paludisme Confirmé","Kawra","Ennedi Est","2017-11","",""
"Paludisme Confirmé","Fada","Ennedi Ouest","2017-11","20",""
"Paludisme Confirmé","Kalaït","Ennedi Ouest","2017-11","8",""
"Paludisme Confirmé","Massenya","Chari-Baguirmi","2017-11","5",""
"Paludisme Confirmé","Dourbali","Chari-Baguirmi","2017-11","6",""
"Paludisme Confirmé","Mandalia","Chari-Baguirmi","2017-11","1",""
"Paludisme Confirmé","Bousso","Chari-Baguirmi","2017-11","","1"
"Paludisme Confirmé","Ba Illi","Chari-Baguirmi","2017-11","5",""
"Paludisme Confirmé","Kouno","Chari-Baguirmi","2017-11","",""
"Paludisme Confirmé","Mongo","Guera","2017-11","12","1"
"Paludisme Confirmé","Bitkine","Guera","2017-11","39",""
"Paludisme Confirmé","Melfi","Guera","2017-11","",""
"Paludisme Confirmé","Mangalme","Guera","2017-11","12",""
"Paludisme Confirmé","Massakory","Hadjer Lamis","2017-11","",""
"Paludisme Confirmé","Bokoro","Hadjer Lamis","2017-11","9",""
"Paludisme Confirmé","Massaguet","Hadjer Lamis","2017-11","","1"
"Paludisme Confirmé","Mani","Hadjer Lamis","2017-11","",""
"Paludisme Confirmé","Bardai","Tibesti","2017-11","","1"
"Paludisme Confirmé","Zouar","Tibesti","2017-11","58",""
"Paludisme Confirmé","Mao","Kanem","2017-11","",""
"Paludisme Confirmé","Nokou","Kanem","2017-11","",""
"Paludisme Confirmé","Rig Rig","Kanem","2017-11","4","2"
"Paludisme Confirmé","Mondo","Kanem","2017-11","2",""
"Paludisme Confirmé","Moussoro","Barh-Elgazal","2017-11","",""
"Paludisme Confirmé","Chaddra","Barh-Elgazal","2017-11","2",""
"Paludisme Confirmé","Salal","Barh-Elgazal","2017-11","",""
"Paludisme Confirmé","Michemire","Barh-Elgazal","2017-11","1","1"
"Paludisme Confirmé","Bol","Lac","2017-11","",""
"Paludisme Confirmé","Bagassoula","Lac","2017-11","5",""
"Paludisme Confirmé","Ngouri","Lac","2017-11","",""
"Paludisme Confirmé","Kouloudia","Lac","2017-11","",""
"Paludisme Confirmé","Liwa","Lac","2017-11","1",""
"Paludisme Confirmé","Isseirom","Lac","2017-11","1",""
"Paludisme Confirmé","Moundou","Logone Occidental","2017-11","1",""
"Paludisme Confirmé","Laokassy","Logone Occidental","2017-11","1",""
"Paludisme Confirmé","Benoye","Logone Occidental","2017-11","6",""
"Paludisme Confirmé","Doba","Logone Oriental","2017-11","",""
"Paludisme Confirmé","Bodo","Logone Oriental","2017-11","",""
"Paludisme Confirmé","Bebeto","Logone Oriental","2017-11","7",""
"Paludisme Confirmé","Bébédja","Logone Oriental","2017-11","1",""
"Paludisme Confirmé","Gore","Logone Oriental","2017-11","9",""
"Paludisme Confirmé","Béssao","Logone Oriental","2017-11","","1"
"Paludisme Confirmé","Larmanaye","Logone Oriental","2017-11","29",""
"Paludisme Confirmé","Koumra","Mandoul","2017-11","13","1"
"Paludisme Confirmé","Goundi","Mandoul","2017-11","2","1"
"Paludisme Confirmé","Moissala","Mandoul","2017-11","2","1"
"Paludisme Confirmé","Bedjondo","Mandoul","2017-11","",""
"Paludisme Confirmé","Bouna","Mandoul","2017-11","1",""
"Paludisme Confirmé","Bongor","Mayo-Kebbi-Est","2017-11","","1"
"Paludisme Confirmé","Gounou Gaya","Mayo-Kebbi-Est","2017-11","1","1"
"Paludisme Confirmé","Guelendeng","Mayo-Kebbi-Est","2017-11","1",""
"Paludisme Confirmé","Fianga","Mayo-Kebbi-Est","2017-11","1",""
"Paludisme Confirmé","Pont Carol","Mayo-Kebbi-Est","2017-11","7",""
"Paludisme Confirmé","Moulkou","Mayo-Kebbi-Est","2017-11","1",""
"Paludisme Confirmé","Youe","Mayo-Kebbi-Est","2017-11","17",""
"Paludisme Confirmé","Pala","Mayo-Kebbi-Ouest","2017-11","1",""
"Paludisme Confirmé","Lere","Mayo-Kebbi-Ouest","2017-11","",""
"Paludisme Confirmé","Gagal","Mayo-Kebbi-Ouest","2017-11","",""
"Paludisme Confirmé","Torrock","Mayo-Kebbi-Ouest","2017-11","","2"
"Paludisme Confirmé","Lagon","Mayo-Kebbi-Ouest","2017-11","8","1"
"Paludisme Confirmé","Binder","Mayo-Kebbi-Ouest","2017-11","",""
"Paludisme Confirmé","Lame","Mayo-Kebbi-Ouest","2017-11","4",""
"Paludisme Confirmé","Sarh","Moyen-Chari","2017-11","",""
"Paludisme Confirmé","Danamadji","Moyen-Chari","2017-11","18",""
"Paludisme Confirmé","Biobé Singako","Moyen-Chari","2017-11","1",""
"Paludisme Confirmé","Ndjamena-Nord","Ndjamena","2017-11","19",""
"Paludisme Confirmé","Ndjamena-Centre","Ndjamena","2017-11","",""
"Paludisme Confirmé","Ndjamena-Sud","Ndjamena","2017-11","12",""
"Paludisme Confirmé","Ndjamena-Est","Ndjamena","2017-11","2",""
"Paludisme Confirmé","Faya","Borkou","2017-11","1",""
"Paludisme Confirmé","Abeche","Ouaddai","2017-11","2","1"
"Paludisme Confirmé","Abdi","Ouaddai","2017-11","",""
"Paludisme Confirmé","Adre","Ouaddai","2017-11","",""
"Paludisme Confirmé","Abougoudam","Ouaddai","2017-11","11","1"
"Paludisme Confirmé","Gozbeida","Sila","2017-11","2","1"
"Paludisme Confirmé","Amdam","Sila","2017-11","15","2"
"Paludisme Confirmé","Tissi","Sila","2017-11","","2"
"Paludisme Confirmé","Koukou Angarana","Sila","2017-11","13",""
"Paludisme Confirmé","Amtiman","Salamat","2017-11","3",""
"Paludisme Confirmé","Aboudeia","Salamat","2017-11","",""
"Paludisme Confirmé","Haraze Mangueigne","Salamat","2017-11","9",""
"Paludisme Confirmé","Lai","Tandjile","2017-11","",""
"Paludisme Confirmé","Dono Manga","Tandjile","2017-11","10","2"
"Paludisme Confirmé","Kelo","Tandjile","2017-11","","1"
"Paludisme Confirmé","Bere","Tandjile","2017-11","1",""
"Paludisme Confirmé","Daffra","Tandjile","2017-11","1",""
"Paludisme Confirmé","Biltine","Wadi Fira","2017-11","1",""
"Paludisme Confirmé","Guereda","Wadi Fira","2017-11","15",""
"Paludisme Confirmé","Iriba","Wadi Fira","2017-11","12",""
"Paludisme Confirmé","Matadjana","Wadi Fira","2017-11","9",""
"Décès Maternels","Ati","Batha","2017-11","2","2"
"Décès Maternels","Oum Hadjer","Batha","2017-11","50","1"
"Décès Maternels","Alifat","Batha","2017-11","9","2"
